Model,Username,User_Country,User_Province,User_City,User_PostalCode,Numpublication,NumPublicationAdoption,NumPublicationHelp,NumPublicationStray,NumComment,UserAge,Work,Studies,Marital Status,Children,Housing,Other Pets,NumPets,Gender,Specie,Chip,Sex,Race,Age,State,AnimalShelter
Animal,James,Guinea Ecuatorial,Tenerife,Extremadura,54806,4360,1102,1664,1594,1529,43,Politólogo,Ciencias políticas,divorced,19,detached house,snake,0,,hamster,unknown,unknow,Roborowski,4,other,animalshelter
PublicationAdoption,Daniel,Alemania,Lugo,Teruel,37714,3787,403,1792,1592,1406,44,Periodista,Bachillerato,relationship,13,terraced house,cat,2,,hamster,yes,neutered_female,Sirio,3,adopted,animalshelter
Pages,Mary,Colombia,Cáceres,Utrera,43911,4531,1669,992,1870,1072,97,Sociólogo,Ingeniería química,married,19,triplex,turtles,17,,,,,,0,,
Animal,Ricky,Nicaragua,Ciudad Real,Valladolid,85004,2235,173,1347,715,669,47,Técnico de sonido,Mercadotecnia y publicidad,divorced,19,duplex,other,1,other,turtles,no,unknow,Cumberland,18,unknown,animalshelter
PublicationAdoption,Marlene,España,Madrid,Balearic Islands,14652,2251,1109,744,398,772,88,Computista,"Finanzas, banca y seguros",divorced,13,apartment,cat,1,male,bunny,unknown,castrated_male,English angora,16,other,animalshelter
Pages,Basil,Francia,Zaragoza,Córdoba,79129,2595,813,1255,527,1805,71,Cocinero,Magisterio,separated,3,semi-detached house,,6,other,,,,,0,,
PublicationAdoption,Christopher,Guatemala,Salamanca,Melilla,83066,3751,1557,1610,584,1959,45,Físico,Mercadotecnia y publicidad,separated,17,ground floor,hamster,7,male,turtles,no,unknow,Orejas rojas,7,dead,animalshelter
PublicationAdoption,Jerry,Republica Dominicana,Cuenca,Tortosa,14267,1005,623,277,105,105,83,,Derecho,divorced,9,semi-detached house,,19,nobinary,snake,unknown,intact_female,Pitón,8,sick,animalshelter
PublicationAdoption,Antonio,Nicaragua,Almería,Getxo,84094,2362,1025,343,994,1642,26,Médico cirujano,Magisterio,married,4,ground floor with garden,hamster,2,female,snake,,castrated_male,Anaconda,18,other,animalshelter
Animal,Erica,Uruguay,Girona,Mondoñedo,41663,4876,1995,903,1978,1712,43,Mecánico,Sociología y antropología,married,14,duplex,bunny,11,,bunny,unknown,unknow,Gigante de Flandes,0,unknown,animalshelter
AnimalShelter,Thomas,Paraguay,Albacete,Valladolid,76375,2334,1711,253,370,947,2,Técnico de sonido,Sociología y antropología,married,7,semi-detached house,other,14,female,dog,yes,castrated_male,Sabueso de Istria,5,vet,animalshelter
AnimalShelter,Howard,India,Jaén,Cornellà,22697,1723,543,272,908,697,51,Computista,ESO,relationship,6,,bunny,19,nobinary,other,unknown,intact_male,Pedresa,3,dead,animalshelter
Pages,Vera,Nicaragua,Castellón,Alcántara,93025,3731,1575,1155,1001,789,74,Biólogo,Psicología,married,0,bungalows,dog,2,other,,,,,0,,
Animal,Wanda,Pakistan,Zamora,Ciudad Real,43875,4816,1320,1627,1869,406,52,Enfermero,Ciencias políticas,relationship,20,bungalows,cat,8,other,snake,unknown,intact_male,Pitón,15,unknown,animalshelter
AnimalAdoption,Patricia,Argentina,Orense,Ciudad Real,69569,3136,809,1382,945,316,82,Mecánico,Negocios y comercio,separated,12,semi-detached house,cat,20,other,bunny,,unknow,Belier,13,foster,animalshelter
PublicationAdoption,Clare,Reino Unido,Mallorca,Guadalajara,97999,1664,36,152,1476,1130,8,Cerrajero,Ingeniería Informatica,married,2,,snake,20,male,cat,unknown,intact_male,Birmano,8,vet,animalshelter
AnimalShelter,Joseph,Mexico,Cantabria,Madrid,48768,1037,631,322,84,466,17,Historiador,Ingeniería química,relationship,18,duplex,other,7,,dog,no,unknow,Border Collie,8,sick,animalshelter
AnimalAdoption,Walter,Pakistan,Salamanca,Simancas,47698,3323,861,751,1711,1140,31,Paleontólogo,Ingeniería Informatica,,3,attic,cat,4,nobinary,hamster,no,intact_female,Chino,2,adopted,animalshelter
Pages,Lillian,Mexico,Granada,Getxo,74753,3159,1580,579,1000,869,85,Enfermero,Bachillerato,separated,7,semi-detached house,snake,12,female,,,,,0,,
Pages,Walter,India,El Hierro,Guadalajara,11121,2937,1221,852,864,1418,10,Sociólogo,Ingeniería Informatica,single,0,duplex,hamster,10,female,,,,,0,,
PublicationAdoption,Cecil,Cuba,Cádiz,Sabadell,19962,2187,619,528,1040,254,25,Farmacólogo,Negocios y comercio,separated,10,terraced house,,11,nobinary,turtles,unknown,unknow,Mapa,12,vet,animalshelter
AnimalShelter,Eusebio,Argentina,Ibiza,Bujalance,50174,2329,617,1532,180,184,2,Físico,Ingeniería mecánica y metalurgia,divorced,20,triplex,,10,other,hamster,no,unknow,Enano de Campbell,18,other,animalshelter
Animal,Annie,Panama,Las Palmas de Gran Canaria,Mérida,15924,3526,357,1929,1240,53,87,Químico,Administración y gestión de empresas,separated,8,duplex,bunny,11,other,other,no,unknow,Betizu,18,other,animalshelter
AnimalAdoption,Douglas,España,Soria,Alcázar de San Juan,75053,1703,812,433,458,1074,62,Músico,"Negocios y administración, programas multidisciplinarios o generales",separated,14,duplex,,5,female,dog,,unknow,Laika de Siberia Occidental,18,adopted,animalshelter
Animal,Diana,Ecuador,Murcia,Palencia,13972,3483,1271,352,1860,769,99,Politólogo,"Negocios y administración, programas multidisciplinarios o generales",divorced,10,flat,turtles,18,male,cat,,unknow,Maine coon,16,sick,animalshelter
Pages,Lynn,Paraguay,Santa Cruz de Tenerife,Lugo,97818,3263,1340,1394,529,1879,83,Paramédico,Tecnología y protección del medio ambiente,separated,1,apartment,cat,20,nobinary,,,,,0,,
Animal,Eric,Pakistan,Cuenca,Soria,39208,1807,1701,9,97,1828,68,Periodista,Tecnologías de la información y comunicación,,1,quadplex,turtles,7,other,other,unknown,intact_male,Betizu,6,adopted,animalshelter
AnimalAdoption,Ricky,Peru,Castellón,Cieza,98868,2734,204,1453,1077,1822,71,Cerrajero,Ingeniería química,relationship,14,detached house,hamster,8,other,hamster,no,castrated_male,Roborowski,6,sick,animalshelter
AnimalShelter,Daniel,Guatemala,Sevilla,Coín,28820,4095,421,1802,1872,32,40,Enfermero,ESO,separated,7,terraced house,snake,17,male,dog,no,castrated_male,Bobtail,16,foster,animalshelter
Animal,Samuel,Malta,Soria,Sanlúcar de Barrameda,20850,2911,1728,324,859,901,2,Sociólogo,"Negocios y administración, programas multidisciplinarios o generales",separated,14,,bunny,1,,snake,yes,unknow,Víbora,10,adopted,animalshelter
Animal,Gail,Republica de Irlanda,Sevilla,Canary Islands,66116,3040,1631,73,1336,455,14,Archivólogo,Tecnología y protección del medio ambiente,divorced,7,detached house,,6,female,snake,no,intact_male,Serpiente del maíz,19,healthy,animalshelter
Animal,John,Paraguay,Segovia,Madrid,29086,1740,931,802,7,398,44,Computista,Contabilidad y fiscalización,married,0,ground floor with garden,,0,other,hamster,no,intact_male,Chino,8,unknown,animalshelter
Pages,Charles,Republica Dominicana,Salamanca,Segovia,94002,4080,1182,1999,899,511,20,Secretaria,Administración y gestión de empresas,divorced,4,semi-detached house,snake,4,male,,,,,0,,
Pages,Jeffrey,El Salvador,Asturias,Puertollano,50431,1621,598,703,320,934,76,Bibliotecólogo,"Negocios y administración, programas multidisciplinarios o generales",divorced,16,terraced house,hamster,12,male,,,,,0,,
Animal,Keith,Costa Rica,Palencia,Guernica,10815,3165,1947,1186,32,1646,24,Secretaria,Criminología,,11,triplex,dog,10,nobinary,bunny,unknown,castrated_male,Blanco de Hotot,7,unknown,animalshelter
Pages,Pearl,Bolivia,Palencia,Puente-Genil,10604,4402,1907,1259,1236,1110,60,Farmacólogo,Derecho,married,19,detached house,hamster,12,male,,,,,0,,
PublicationAdoption,Louis,Paraguay,Gran Canaria,Guadalajara,23024,2974,941,676,1357,1447,64,Lavandero,Ciencias políticas,relationship,20,terraced house,turtles,6,male,bunny,no,castrated_male,Toy,16,foster,animalshelter
Animal,Catherine,Bolivia,Granada,Soria,27592,1527,774,240,513,1598,39,Abogado,Psicología,,2,triplex,bunny,10,,dog,yes,neutered_female,Gordon Setter,9,sick,animalshelter
AnimalAdoption,Donald,El Salvador,Navarra,Valladolid,34777,3944,654,1587,1703,312,60,Abogado,Administración y gestión de empresas,married,5,quadplex,turtles,2,male,turtles,,neutered_female,Orejas rojas,9,dead,animalshelter
AnimalAdoption,Linda,Alemania,Barcelona,Guadalupe,52365,3366,1644,716,1006,1405,13,Matemático,Derecho,divorced,15,apartment,cat,10,,cat,yes,intact_female,Bobtail americano,1,sick,animalshelter
PublicationAdoption,John,Alemania,Valencia,Melilla,16257,3071,1631,460,980,963,64,Frutero,Economía,single,18,duplex,snake,18,male,cat,yes,unknow,Siberiano,9,dead,animalshelter
AnimalAdoption,Barbara,Bolivia,La Palma,Utrera,80799,2411,1515,322,574,1320,39,Psicólogo,Bachillerato,married,0,semi-detached house,several,4,female,other,unknown,intact_male,Duroc,5,adopted,animalshelter
PublicationAdoption,John,Costa Rica,Tenerife,Telde,55206,2175,387,954,834,914,78,Filólogo,Bellas artes,married,10,detached house,hamster,19,nobinary,hamster,unknown,neutered_female,Ruso enano,6,foster,animalshelter
Pages,David,Honduras,Córdoba,Priego de Córdoba,29066,1857,765,694,398,1553,90,Artesano,Psicología,separated,17,quadplex,cat,20,male,,,,,0,,
PublicationAdoption,Glennis,Ecuador,León,Ciudad Real,97310,1860,881,634,345,1968,34,Computista,Trabajo y atención social,separated,2,quadplex,other,6,male,dog,no,intact_female,Haldenstoever,9,vet,animalshelter
PublicationAdoption,Todd,Alemania,Sevilla,Ferrol,66671,2249,65,553,1631,737,95,,Ingeniería mecánica y metalurgia,,4,ground floor with garden,cat,1,other,hamster,yes,castrated_male,Sirio,7,dead,animalshelter
PublicationAdoption,Howard,Reino Unido,Navarra,Reus,67395,3776,887,1431,1458,55,78,,Bellas artes,single,3,ground floor,hamster,15,nobinary,snake,no,unknow,Serpiente de Rata Negra,7,foster,animalshelter
AnimalAdoption,Frederick,Costa Rica,Orense,Jaén,82674,3281,1531,181,1569,394,39,Paleontólogo,Administración y gestión de empresas,relationship,13,bungalows,cat,18,other,turtles,,intact_female,Orejas amarillas,16,dead,animalshelter
AnimalShelter,Felicia,Venezuela,Toledo,Andújar,41035,2638,829,1318,491,1955,98,Arquitecto,Sociología y antropología,,8,duplex,bunny,5,nobinary,snake,unknown,intact_male,Cobra,12,other,animalshelter
AnimalAdoption,Esther,Pakistan,Ibiza,Teruel,57681,2893,722,1456,715,757,84,Historiador,Bellas artes,separated,8,bungalows,turtles,16,female,bunny,unknown,neutered_female,Cabeza de leon,18,other,animalshelter
AnimalShelter,Walter,Bolivia,La Rioja,Luarca,98646,1172,412,611,149,652,73,Matemático,Magisterio,single,15,detached house,hamster,7,male,bunny,,neutered_female,English angora,5,unknown,animalshelter
PublicationAdoption,Delbert,Honduras,Cuenca,Catalonia,84364,2846,1431,1386,29,409,56,Técnico de sonido,Negocios y comercio,married,9,,cat,9,male,turtles,,unknow,Cumberland,5,dead,animalshelter
AnimalShelter,Cynthia,Chile,Lugo,Ribeira,52621,2390,146,1758,486,1660,11,Bibliotecólogo,Trabajo y atención social,divorced,2,bungalows,bunny,20,nobinary,cat,,castrated_male,Maine coon,6,adopted,animalshelter
AnimalAdoption,Neal,Guinea Ecuatorial,Fuerteventura,Getafe,13455,3502,1492,289,1721,1840,74,Cerrajero,Ingeniería mecánica y metalurgia,relationship,20,ground floor,snake,14,,cat,unknown,unknow,Bobtail americano,11,foster,animalshelter
Pages,Roy,Uruguay,Soria,Ecija,33209,2137,1304,370,463,1234,12,Médico cirujano,Ingeniería química,relationship,1,duplex,turtles,15,male,,,,,0,,
Animal,Robert,Uruguay,Menorca,Valladolid,89399,4004,1761,1375,868,664,84,Abogado,Derecho,separated,3,terraced house,other,8,male,dog,,unknow,Drever,18,healthy,animalshelter
PublicationAdoption,Margaret,El Salvador,Barcelona,Funes,91731,4696,1762,1541,1393,47,2,Químico,Administración y gestión de empresas,,6,semi-detached house,bunny,1,female,hamster,no,castrated_male,Enano de Campbell,15,foster,animalshelter
PublicationAdoption,Thomas,Alemania,Burgos,Vitoria-Gasteiz,36856,3443,1876,1221,346,654,42,Mecánico,Negocios y comercio,married,10,loft,bunny,18,nobinary,hamster,,castrated_male,Chino,19,healthy,animalshelter
Pages,Margaret,España,Vizcaya,Ourense,25954,4495,1849,1340,1306,993,28,Bibliotecólogo,Mercadotecnia y publicidad,single,5,duplex,several,1,nobinary,,,,,0,,
AnimalAdoption,Richard,Cuba,Valladolid,Mataró,71263,1837,458,1212,167,319,44,Físico,Negocios y comercio,,14,bungalows,snake,0,,cat,unknown,intact_female,Ragdol,15,dead,animalshelter
Animal,Joe,Republica de Irlanda,Zamora,Caravaca,35326,1412,323,52,1037,974,94,Archivólogo,Negocios y comercio,separated,8,,snake,13,nobinary,hamster,no,intact_male,Enano de Campbell,16,adopted,animalshelter
AnimalShelter,Robert,El Salvador,León,Toro,84138,2701,149,1277,1275,1672,44,Carpintero,Ingeniería Informatica,,19,terraced house,snake,15,female,turtles,yes,intact_male,Pintada,1,other,animalshelter
Animal,Sean,India,Asturias,Luarca,80366,2635,335,412,1888,1475,73,Médico cirujano,Tecnología y protección del medio ambiente,separated,9,flat,bunny,9,male,snake,,intact_male,Mamba,12,dead,animalshelter
Pages,Armida,Mexico,La Gomera,Ribeira,25314,2971,520,1720,731,1570,95,Botánico,Ciencias políticas,,5,attic,snake,4,other,,,,,0,,
PublicationAdoption,Diane,Francia,Cantabria,Ciudad Real,97166,4462,1802,1137,1523,1386,21,Artesano,Derecho,,0,apartment,bunny,14,nobinary,dog,yes,unknow,Dogo Argentino,8,healthy,animalshelter
Animal,George,Argentina,Segovia,Cornellà,78462,3462,903,1720,839,1674,34,Geógrafo,"Negocios y administración, programas multidisciplinarios o generales",divorced,18,studio,cat,12,nobinary,snake,,neutered_female,Cobra,20,foster,animalshelter
Pages,Carolyn,Guinea Ecuatorial,Avila,Ferrol,39259,2283,1225,432,626,1238,13,Secretaria,Derecho,divorced,16,duplex,hamster,9,female,,,,,0,,
PublicationAdoption,Ronald,Peru,Fuerteventura,Huesca,14226,1981,592,1139,250,1551,51,Enfermero,Ingeniería química,separated,9,apartment,,19,other,bunny,no,castrated_male,Gigante de Flandes,10,vet,animalshelter
AnimalAdoption,John,Colombia,Girona,Úbeda,81155,890,81,348,461,463,70,Sociólogo,Bachillerato,separated,1,quadplex,cat,4,nobinary,other,yes,unknow,Duroc,16,sick,animalshelter
AnimalAdoption,Paul,Guatemala,León,Oviedo,74617,3575,364,1467,1744,1211,11,Frutero,Mercadotecnia y publicidad,single,14,triplex,dog,18,female,bunny,no,intact_male,Blanco de Hotot,19,adopted,animalshelter
PublicationAdoption,Bryan,Paraguay,Ciudad Real,Vilanova i la Geltrú,19300,2600,167,1252,1181,1209,69,Biólogo,"Finanzas, banca y seguros",separated,20,detached house,several,5,,snake,no,intact_female,Víbora,8,other,animalshelter
AnimalShelter,Megan,Panama,Jaén,Salamanca,73309,3504,815,1871,818,678,26,,Ingeniería química,,9,ground floor with garden,hamster,3,,bunny,no,intact_male,Blanco de Hotot,12,adopted,animalshelter
Animal,Carol,India,Salamanca,Maó,44725,3676,1926,1703,47,9,8,Lavandero,Bellas artes,divorced,20,semi-detached house,dog,10,other,turtles,unknown,intact_male,Caja de florida,5,adopted,animalshelter
PublicationAdoption,Diana,Venezuela,Cádiz,Tarragona,76603,3605,1417,1743,445,462,56,Mecánico,Bellas artes,,4,ground floor with garden,bunny,0,nobinary,other,,intact_male,Betizu,17,other,animalshelter
